Issue_ID	Chromosome	Patch_GenBank_Accession
ZG-6743	14	na
ZG-6744	14	na
ZG-6745	14	na
ZG-6746	14	na
ZG-6747	14	na
ZG-6748	14	na
ZG-6749	14	na
ZG-6750	14	na
ZG-6751	14	na
ZG-7119	14	na
ZG-2745	15	na
ZG-2747	15	na
ZG-2773	15	na
ZG-2932	15	na
ZG-2933	15	na
ZG-2934	15	na
ZG-2935	15	na
ZG-2936	15	na
ZG-2938	15	na
ZG-2939	15	na
ZG-2940	15	na
ZG-2941	15	na
ZG-2942	15	na
ZG-2947	15	na
ZG-2948	15	na
ZG-2949	15	na
ZG-2950	15	na
ZG-2951	15	na
ZG-2952	15	na
ZG-2953	15	na
ZG-2954	15	na
ZG-2957	15	na
ZG-2966	15	na
ZG-2972	15	na
ZG-2976	15	na
ZG-2980	15	na
ZG-2986	15	na
ZG-2987	15	na
ZG-2988	15	na
ZG-2989	15	na
ZG-2990	15	na
ZG-2991	15	na
ZG-3001	15	na
ZG-3005	15	na
ZG-3007	15	na
ZG-3008	15	na
ZG-3010	15	na
ZG-3013	15	na
ZG-3014	15	na
ZG-3015	15	na
ZG-3027	15	na
ZG-3028	15	na
ZG-3030	15	na
ZG-3031	15	na
ZG-3032	15	na
ZG-3033	15	na
ZG-3034	15	na
ZG-3035	15	na
ZG-3036	15	na
ZG-3045	15	na
ZG-3049	15	na
ZG-3050	15	na
ZG-3051	15	na
ZG-3052	15	na
ZG-3053	15	na
ZG-3054	15	na
ZG-3056	15	na
ZG-3061	15	na
ZG-3062	15	na
ZG-3063	15	na
ZG-3065	15	na
ZG-3070	15	na
ZG-3072	15	na
ZG-3079	15	na
ZG-3081	15	na
ZG-3082	15	na
ZG-3083	15	na
ZG-3084	15	na
ZG-3085	15	na
ZG-3086	15	na
ZG-3909	15	na
ZG-3910	15	na
ZG-3911	15	na
ZG-3912	15	na
ZG-3913	15	na
ZG-3916	15	na
ZG-3917	15	na
ZG-3918	15	na
ZG-4011	15	na
ZG-4039	15	na
ZG-5433	15	na
ZG-5434	15	na
ZG-5467	15	na
ZG-5468	15	na
ZG-5469	15	na
ZG-5470	15	na
ZG-5471	15	na
ZG-5472	15	na
ZG-5577	15	na
ZG-5580	15	na
ZG-5581	15	na
ZG-5582	15	na
ZG-5583	15	na
ZG-5648	15	na
ZG-5775	15	na
ZG-5912	15	na
ZG-5913	15	na
ZG-5914	15	na
ZG-5915	15	na
ZG-5916	15	na
ZG-5917	15	na
ZG-5918	15	na
ZG-5919	15	na
ZG-5920	15	na
ZG-5921	15	na
ZG-5922	15	na
ZG-5923	15	na
ZG-5925	15	na
ZG-5926	15	na
ZG-5968	15	na
ZG-5976	15	na
ZG-5977	15	na
ZG-5978	15	na
ZG-5979	15	na
ZG-5980	15	na
ZG-5986	15	na
ZG-5987	15	na
ZG-5995	15	na
ZG-6003	15	na
ZG-6013	15	na
ZG-6025	15	na
ZG-6679	15	na
ZG-6705	15	na
ZG-6706	15	na
ZG-6707	15	na
ZG-6708	15	na
ZG-6709	15	na
ZG-6710	15	na
ZG-6713	15	na
ZG-6715	15	na
ZG-6717	15	na
ZG-6719	15	na
ZG-6720	15	na
ZG-6766	15	na
ZG-7004	15	na
ZG-7106	15	na
ZG-2767	16	na
ZG-2769	16	na
ZG-2912	16	na
ZG-3254	16	na
ZG-3971	16	na
ZG-4000	16	na
ZG-4042	16	na
ZG-4043	16	na
ZG-4105	16	na
ZG-4113	16	na
ZG-4114	16	na
ZG-4357	16	na
ZG-4370	16	na
ZG-4373	16	na
ZG-4374	16	na
ZG-4375	16	na
ZG-4381	16	na
ZG-4382	16	na
ZG-4383	16	na
ZG-4384	16	na
ZG-4386	16	na
ZG-4388	16	na
ZG-4392	16	na
ZG-4393	16	na
ZG-4394	16	na
ZG-4396	16	na
ZG-4397	16	na
ZG-4398	16	na
ZG-4399	16	na
ZG-4400	16	na
ZG-4407	16	na
ZG-4409	16	na
ZG-4410	16	na
ZG-4411	16	na
ZG-4412	16	na
ZG-4413	16	na
ZG-4414	16	na
ZG-4415	16	na
ZG-4416	16	na
ZG-4417	16	na
ZG-4418	16	na
ZG-4420	16	na
ZG-4421	16	na
ZG-4422	16	na
ZG-4423	16	na
ZG-4424	16	na
ZG-4425	16	na
ZG-4427	16	na
ZG-4428	16	na
ZG-4429	16	na
ZG-4430	16	na
ZG-4431	16	na
ZG-4432	16	na
ZG-4433	16	na
ZG-4434	16	na
ZG-4435	16	na
ZG-4436	16	na
ZG-4437	16	na
ZG-4438	16	na
ZG-4442	16	na
ZG-4445	16	na
ZG-4447	16	na
ZG-4449	16	na
ZG-4450	16	na
ZG-4458	16	na
ZG-4460	16	na
ZG-4472	16	na
ZG-4474	16	na
ZG-4477	16	na
ZG-4480	16	na
ZG-4481	16	na
ZG-4482	16	na
ZG-4484	16	na
ZG-4497	16	na
ZG-4498	16	na
ZG-4502	16	na
ZG-4503	16	na
ZG-4506	16	na
ZG-4507	16	na
ZG-4510	16	na
ZG-4511	16	na
ZG-4512	16	na
ZG-4515	16	na
ZG-4516	16	na
ZG-4517	16	na
ZG-4518	16	na
ZG-4519	16	na
ZG-4520	16	na
ZG-4521	16	na
ZG-5127	16	na
ZG-5130	16	na
ZG-5132	16	na
